query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_TRAINING_0001	NIL0001	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0002	E0620294	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0003	E0202829	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0004	E0525761	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0005	NIL0002	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0006	NIL0003	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0007	NIL0004	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0008	NIL0005	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0009	E0318795	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0010	NIL0006	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0011	E0355880	PER	NW	N	N	N
EDL14_ENG_TRAINING_0012	E0679734	ORG	WB	N	Y	N
EDL14_ENG_TRAINING_0013	E0422005	ORG	DF	N	N	N
EDL14_ENG_TRAINING_0014	E0748134	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0015	NIL0007	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0016	E0755796	PER	DF	N	N	N
EDL14_ENG_TRAINING_0017	E0685163	PER	NW	N	N	N
EDL14_ENG_TRAINING_0018	E0006404	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0019	NIL0008	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0020	E0088207	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0021	NIL0009	PER	NW	N	N	N
EDL14_ENG_TRAINING_0022	E0305073	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0023	E0594272	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0024	E0276615	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0025	NIL0010	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0026	E0411015	GPE	WB	Y	Y	N
EDL14_ENG_TRAINING_0027	NIL0011	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0028	E0761408	PER	NW	N	N	N
EDL14_ENG_TRAINING_0029	E0411501	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0030	E0741296	ORG	DF	Y	N	N
EDL14_ENG_TRAINING_0031	E0359947	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0032	E0103833	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0033	NIL0012	PER	DF	Y	N	N
EDL14_ENG_TRAINING_0034	E0202467	PER	DF	N	N	N
EDL14_ENG_TRAINING_0035	E0324907	PER	NW	Y	N	N
EDL14_ENG_TRAINING_0036	E0141366	PER	NW	N	N	N
EDL14_ENG_TRAINING_0037	NIL0013	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0038	NIL0014	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0039	NIL0015	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0040	E0679687	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0041	E0522493	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0042	NIL0016	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0043	NIL0017	ORG	DF	N	N	N
EDL14_ENG_TRAINING_0044	NIL0018	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0045	E0386944	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0046	E0282369	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0047	NIL0018	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0048	NIL0019	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0049	E0009466	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0050	E0305657	PER	DF	N	N	N
EDL14_ENG_TRAINING_0051	NIL0020	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0052	NIL0021	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0053	E0801041	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0054	NIL0022	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0055	NIL0023	PER	WB	N	N	N
EDL14_ENG_TRAINING_0056	NIL0024	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0057	NIL0025	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0058	E0594272	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0059	NIL0026	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0060	E0802223	PER	WB	N	N	N
EDL14_ENG_TRAINING_0061	E0821764	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0062	E0294240	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0063	NIL0027	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0064	E0173174	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0065	NIL0028	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0066	NIL0029	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0067	E0768746	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0068	E0493745	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0069	NIL0030	PER	NW	N	N	N
EDL14_ENG_TRAINING_0070	E0566375	PER	NW	N	N	N
EDL14_ENG_TRAINING_0071	NIL0008	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0072	E0337941	PER	DF	N	N	N
EDL14_ENG_TRAINING_0073	NIL0031	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0074	E0715700	PER	NW	N	N	N
EDL14_ENG_TRAINING_0075	NIL0032	PER	WB	Y	N	N
EDL14_ENG_TRAINING_0076	E0530900	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0077	E0642555	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0078	NIL0013	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0079	E0255557	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0080	E0679687	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0081	E0677229	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0082	NIL0033	ORG	WB	Y	Y	N
EDL14_ENG_TRAINING_0083	NIL0034	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0084	NIL0035	PER	WB	Y	Y	Y
EDL14_ENG_TRAINING_0085	E0679687	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0086	NIL0036	PER	WB	Y	N	N
EDL14_ENG_TRAINING_0087	NIL0037	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0088	NIL0038	ORG	DF	Y	Y	N
EDL14_ENG_TRAINING_0089	NIL0039	PER	WB	Y	Y	N
EDL14_ENG_TRAINING_0090	E0824843	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0091	NIL0040	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0092	NIL0041	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0093	E0679687	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0094	E0679687	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0095	E0801305	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0096	NIL0042	GPE	NW	Y	Y	Y
EDL14_ENG_TRAINING_0097	E0679687	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0098	NIL0013	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0099	NIL0043	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0100	E0139098	ORG	DF	Y	N	N
EDL14_ENG_TRAINING_0101	E0100183	PER	WB	N	N	N
EDL14_ENG_TRAINING_0102	NIL0044	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0103	E0719130	ORG	DF	N	N	N
EDL14_ENG_TRAINING_0104	NIL0045	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0105	NIL0046	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0106	NIL0047	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0107	NIL0048	PER	NW	N	N	N
EDL14_ENG_TRAINING_0108	NIL0049	PER	NW	Y	N	N
EDL14_ENG_TRAINING_0109	NIL0050	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0110	NIL0051	GPE	DF	N	Y	N
EDL14_ENG_TRAINING_0111	NIL0052	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0112	E0018088	ORG	DF	Y	N	N
EDL14_ENG_TRAINING_0113	NIL0053	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0114	NIL0054	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0115	E0737718	ORG	WB	N	Y	N
EDL14_ENG_TRAINING_0116	E0718219	ORG	WB	N	Y	N
EDL14_ENG_TRAINING_0117	E0679687	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0118	E0227456	ORG	WB	Y	Y	N
EDL14_ENG_TRAINING_0119	E0373654	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0120	E0085263	PER	DF	N	N	N
EDL14_ENG_TRAINING_0121	E0212023	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0122	E0216333	ORG	DF	N	N	N
EDL14_ENG_TRAINING_0123	E0743050	PER	DF	N	N	N
EDL14_ENG_TRAINING_0124	NIL0055	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0125	E0584234	PER	DF	N	N	N
EDL14_ENG_TRAINING_0126	NIL0056	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0127	E0370549	PER	NW	N	N	N
EDL14_ENG_TRAINING_0128	NIL0056	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0129	NIL0057	PER	WB	N	N	N
EDL14_ENG_TRAINING_0130	E0237914	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0131	NIL0058	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0132	E0791251	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0133	E0754079	PER	NW	N	N	N
EDL14_ENG_TRAINING_0134	E0698625	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0135	E0777095	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0136	NIL0059	PER	WB	N	N	N
EDL14_ENG_TRAINING_0137	NIL0060	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0138	E0463867	PER	NW	N	N	N
EDL14_ENG_TRAINING_0139	E0099020	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0140	E0418540	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0141	NIL0061	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0142	E0258696	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0143	NIL0062	ORG	WB	Y	Y	N
EDL14_ENG_TRAINING_0144	E0018102	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0145	E0097784	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0146	NIL0063	PER	NW	N	N	N
EDL14_ENG_TRAINING_0147	E0218694	PER	WB	N	N	N
EDL14_ENG_TRAINING_0148	E0276615	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0149	E0481877	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0150	E0819391	PER	WB	N	N	N
EDL14_ENG_TRAINING_0151	E0237914	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0152	E0315026	PER	NW	N	N	N
EDL14_ENG_TRAINING_0153	E0126182	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0154	E0516175	PER	NW	N	N	N
EDL14_ENG_TRAINING_0155	E0404325	ORG	WB	N	Y	N
EDL14_ENG_TRAINING_0156	NIL0064	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0157	NIL0065	PER	WB	N	N	N
EDL14_ENG_TRAINING_0158	E0679687	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0159	NIL0066	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0160	NIL0067	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0161	NIL0068	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0162	NIL0069	PER	DF	N	N	N
EDL14_ENG_TRAINING_0163	E0285107	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0164	NIL0070	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0165	E0463867	PER	NW	N	N	N
EDL14_ENG_TRAINING_0166	E0743050	PER	DF	N	N	N
EDL14_ENG_TRAINING_0167	NIL0071	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0168	E0315026	PER	NW	N	N	N
EDL14_ENG_TRAINING_0169	NIL0072	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0170	NIL0073	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0171	NIL0074	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0172	E0668665	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0173	E0679687	GPE	DF	N	Y	N
EDL14_ENG_TRAINING_0174	E0319064	PER	DF	N	N	N
EDL14_ENG_TRAINING_0175	E0314883	PER	DF	N	N	N
EDL14_ENG_TRAINING_0176	NIL0075	PER	NW	N	N	N
EDL14_ENG_TRAINING_0177	E0189600	PER	NW	N	N	N
EDL14_ENG_TRAINING_0178	E0647882	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0179	NIL0076	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0180	E0083620	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0181	NIL0077	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0182	E0769300	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0183	NIL0078	PER	NW	N	N	N
EDL14_ENG_TRAINING_0184	E0382751	PER	NW	N	N	N
EDL14_ENG_TRAINING_0185	E0619582	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0186	NIL0079	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0187	NIL0080	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0188	E0375368	PER	DF	N	N	N
EDL14_ENG_TRAINING_0189	E0731167	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0190	E0315956	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0191	E0594272	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0192	E0402254	PER	NW	N	N	N
EDL14_ENG_TRAINING_0193	NIL0081	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0194	E0173174	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0195	E0078394	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0196	E0253605	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0197	NIL0082	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0198	E0550909	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0199	NIL0083	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0200	E0428026	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0201	NIL0084	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0202	E0278117	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0203	NIL0085	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0204	E0802223	PER	WB	N	N	N
EDL14_ENG_TRAINING_0205	E0743544	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0206	NIL0086	ORG	DF	Y	Y	N
EDL14_ENG_TRAINING_0207	NIL0087	PER	WB	Y	N	N
EDL14_ENG_TRAINING_0208	E0491897	PER	WB	N	N	N
EDL14_ENG_TRAINING_0209	E0572853	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0210	E0260985	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0211	E0642032	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0212	NIL0013	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0213	E0669532	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0214	NIL0088	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0215	E0062618	PER	DF	N	N	N
EDL14_ENG_TRAINING_0216	NIL0089	PER	NW	Y	Y	N
